总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
48391960380.54,48266392911.03,消费电子,20150318,300433,蓝思科技,4973479998.0,4960574811.0
82335776152.56001,76447510034.25,电池,20150518,300450,先导智能,1565616584.0,1453651075.0
123624608387.12001,103095405907.52,证券,20150626,601211,国泰君安,8906672074.0,7427622904.0
143624885754.38,117066799131.42001,农牧饲渔,20151102,300498,温氏股份,6546257327.0,5335770243.0
115863582477.56001,115863582477.56001,化纤行业,20010820,600346,恒力石化,7039099786.0,7039099786.0
45246287965.0,43887243371.84,物流行业,20070306,002120,韵达股份,2902263500.0,2815089376.0
63207038468.5,54450488468.5,工程建设,20090921,601618,中国中冶,20723619170.0,17852619170.0
39197579385.6,39197579385.6,有色金属,19991223,600219,南山铝业,11950481520.0,11950481520.0
30328061171.519997,30289655387.6,计算机设备,20000608,000977,浪潮信息,1463709516.0,1461855955.0
37954390020.81,37954390020.81,房地产开发,20151204,601155,新城控股,2260535439.0,2260535439.0
50536235251.6,36945370364.0,互联网服务,20151210,300496,中科创达,456927986.0,334044940.0
121271668511.94,121255214259.78,房地产开发,20151230,001979,招商蛇口,7739098182.0,7738048134.0
29543095200.0,14832373354.439999,装修建材,20160329,002791,坚朗五金,321540000.0,161432013.0
27718250499.01,25553506173.77,橡胶制品,20160706,601966,玲珑轮胎,1476731513.0,1361401501.0
109443117689.1,108838447365.57,银行,20160802,600919,江苏银行,14769651510.0,14688049577.0
156849854174.0,130421297174.48,电池,20160914,002812,恩捷股份,892409275.0,742041973.0
82075041250.48,70036967841.2,银行,20161027,600926,杭州银行,5930277547.0,5060474555.0
55301577983.55,48932188808.88,医疗服务,20161118,002821,凯莱英,369984465.0,327371304.0
152370043285.25998,116616009175.26,银行,20100818,601818,光大银行,54031930243.0,41353194743.0
127375393386.15,127280273537.89,航天航空,19961011,600760,中航沈飞,1960526295.0,1959062237.0
82222203968.02,82222203968.02,电力行业,19970318,600795,国电电力,17835619082.0,17835619082.0
98419757940.0,98419757940.0,小金属,19970924,600111,北方稀土,3633066000.0,3633066000.0
339107206910.68,338451157334.68,酿酒行业,19940106,600809,山西汾酒,1220073422.0,1217713022.0
267807281200.03,205395968044.15,证券,20030106,600030,中信证券,14820546829.0,11366683345.0
68651425215.8,68651425215.8,装修建材,20170328,603833,欧派家居,609151954.0,609151954.0
95206035770.25,94678578168.99,半导体,20170504,603501,韦尔股份,1184301975.0,1177740741.0
53092324094.1,50194247379.36,半导体,20170606,300661,圣邦股份,356300410.0,336851536.0
39324631581.3,39324631581.3,证券,20170626,601878,浙商证券,3878168795.0,3878168795.0
32877226984.499996,32657381119.26,医疗服务,20170908,603882,金域医学,467138775.0,464015077.0
128685036124.59999,112372400000.0,非金属材料,20171030,603260,合盛硅业,1074165577.0,938000000.0
54849633775.2,32871918895.2,有色金属,20020111,600362,江西铜业,3462729405.0,2075247405.0
153149844533.1,115591404533.09999,水泥建材,20020207,600585,海螺水泥,5299302579.0,3999702579.0
73009170522.27,73009041968.52,航天航空,19970626,000768,中航西飞,2768645071.0,2768640196.0
131475615462.4,131379043910.4,化肥行业,19970904,000792,盐湖股份,5432876672.0,5428886112.0
2182781859257.9998,2182781859257.9998,酿酒行业,20010827,600519,贵州茅台,1256197800.0,1256197800.0
209962519883.58002,205989040357.32,食品饮料,19960312,600887,伊利股份,6399345318.0,6278239572.0
120511515499.98,111667788340.35,航天航空,19960408,600893,航发动力,2665594238.0,2469979835.0
